wl [micr]	MAD [ppm]
2.836586	5901.992
2.8505304	5816.579
2.8644106	5797.2075
2.8782294	5767.8223
2.8919868	5969.5244
2.9056842	6074.548
2.9193199	6122.172
2.9328966	6608.665
2.9464152	6612.42
2.9598706	6593.2275
2.9732656	6424.7847
2.986605	6480.3364
2.9998875	6660.6997
3.013114	6903.6484
3.0262864	7345.9746
3.0394037	6677.0317
3.052467	6806.0757
3.0654783	6792.1875
3.0784352	7326.3647
3.091341	6876.6475
3.1041949	7550.7163
3.1169975	6983.6377
3.1297503	7068.157
3.1424518	7504.8804
3.155105	7391.4526
3.1677082	7355.69
3.180264	7364.869
3.1927702	7470.608
3.2052298	7497.0723
3.217641	7448.554
3.2300067	7461.9053
3.2423255	7960.737
3.2545993	7545.5903
3.2668273	7697.821
3.2790105	7941.7227
3.2911499	8072.257
3.3032444	8045.1367
3.3152964	8559.704
3.3273041	8724.332
3.33927	7123.351
3.3511934	8290.47
3.3630745	8391.142
3.374915	8330.345
3.3867135	8530.14
3.3984714	8619.606
3.4101894	8512.8545
3.4218671	8722.544
3.4335115	9314.895
3.4451168	8642.972
3.4566824	8997.202
3.4682095	9073.377
3.479699	8820.414
3.49115	8823.514
3.5025628	9428.501
3.5139391	9052.3955
3.5252788	9236.098
3.5365808	9572.148
3.5478468	9786.01
3.559077	9788.931
3.5702722	9887.576
3.5814304	9650.35
3.592554	9890.318
3.6036432	10478.735
3.6146982	10366.022
3.6257188	9877.205
3.636705	10343.79
3.6476574	10331.452
3.6585755	10662.556
3.6694562	11902.094
3.6803043	10456.86
3.6911194	12089.014
3.701902	10620.236
3.712653	10796.07
3.723372	11150.122
3.7340598	10688.781
3.7447166	11424.303
3.7553425	11036.396
3.7659369	11010.527
3.776501	11200.189
3.7870347	11356.175
3.7975385	11619.926
3.8080127	11771.44
3.8184571	11470.139
3.8288724	12180.09
3.8392584	11772.871
3.8496158	12350.321
3.8599443	12576.818
3.8702445	12234.807
3.8805163	18740.059
3.8907597	14959.335
3.9009714	14669.12
3.911155	13592.839
3.9213119	12920.976
3.931441	13474.941
3.941543	13699.65
3.951619	13836.265
3.9616678	13437.152
3.9716902	13174.534
3.9816866	13762.594
3.9916565	13934.791
4.001601	15135.288
4.0115194	13765.097
4.021413	13424.992
4.0312805	14442.921
4.041123	14063.12
4.0509405	15056.193
4.060734	14562.368
4.070502	14238.238
4.0802455	14579.475
4.0899644	15369.713
4.0996594	15178.024
4.1093307	15248.835
4.1189775	15192.2705
4.1286025	14798.283
4.138206	15694.022
4.147786	15230.119
4.1573434	14938.3545
4.1668773	14918.327
4.1763887	14583.767
4.185877	15767.8125
4.195343	16566.516
4.204786	16094.744
4.214206	15235.781
4.223604	16273.081
4.2329807	15439.63
4.2423353	15972.495
4.2516685	17056.822
4.26098	16558.945
4.27027	16117.453
4.2795377	16538.38
4.288785	17471.791
4.2980103	16352.892
4.307215	17081.857
4.3164	16673.863
4.3255634	17224.312
4.334706	18088.102
4.343828	17922.76
4.35293	18203.855
4.3620124	20265.818
4.3710785	20291.328
4.380125	21661.758
4.3891506	21176.576
4.398156	20375.79
4.4071426	18814.564
4.41611	18849.016
4.425058	20512.64
4.4339857	18932.94
4.442895	19061.03
4.451785	19604.623
4.4606566	19931.615
4.469508	21282.018
4.478341	20184.637
4.487156	22343.754
4.4959526	22193.67
4.5047307	21099.568
4.5134897	20543.336
4.5222306	20872.832
4.530954	20534.873
4.539659	22044.242
4.5483456	21330.059
4.557015	20703.256
4.565667	22885.441
4.574301	22455.096
4.5829167	22367.418
4.591516	23103.117
4.6000967	23427.547
4.608658	21863.58
4.6172023	22159.934
4.62573	22463.857
4.634241	24180.115
4.6427345	22624.135
4.6512117	23026.764
4.659672	24198.95
4.668115	22771.418
4.6765428	23470.64
4.6849537	23370.504
4.6933475	23923.814
4.701726	26340.365
4.7100887	23914.992
4.718434	24512.887
4.7267637	37039.695
4.735078	25162.459
4.7433753	26395.977
4.751658	25655.568
4.759925	25113.463
4.7681756	24545.312
4.7764115	32610.535
4.7846317	25031.209
4.792836	25716.723
4.801026	26909.53
4.8092	26959.002
4.817359	26042.938
4.8255033	25632.918
4.8336315	25243.64
4.8417463	29068.232
4.849846	26330.59
4.85793	27779.639
4.8660007	27333.975
4.8740554	30091.523
4.8820963	27233.48
4.890123	29086.59
4.898134	28041.422
4.906132	27507.781
4.9141154	29185.89
4.9220843	29022.217
4.9300394	29933.691
4.9379797	29964.03
4.945907	28081.418
4.9538198	30331.91
4.9617186	30196.012
4.969604	28894.96
4.977475	27585.863
4.985334	30176.281
4.993177	31942.486
5.001008	31407.773
5.0088243	30875.146
5.0166283	33709.227
5.024419	30008.197
5.0321956	30880.094
5.03996	29785.455
5.0477095	30903.518
5.0554476	35997.332
5.0631714	39566.875
5.070883	31830.014
5.07858	33415.08
5.086265	35518.766
5.093937	42202.055
5.1015964	36334.215
5.109243	33667.92
5.1168766	34639.418
5.124498	33627.99
5.1321063	34483.91
5.139703	36746.383
5.1472864	34228.086
5.154858	35211.324
5.162417	49597.086
5.169964	38373.77
5.177498	41153.074
5.1850204	37707.926
5.1925306	33957.363
5.2000294	41094.543
5.207515	38240.016
5.2149897	35571.574
5.2224507	37296.117
5.229902	36914.707
5.2373395	36709.727
5.244767	42836.906
5.252181	39318.145
5.2595854	37816.285
5.266977	43241.082
5.274357	42736.65
5.2817254	36627.293
5.289082	37079.69
5.296428	37656.96
